Title,Author
Wuthering Heights,EmilyBrontë
Agnes Grey,AnneBrontë
David Copperfield,CharlesDickens
The Moon Pool,AMerritt
The Round-up,JohnMurrayandMarionMillsMiller
"British Airships, Past, Present, and Future",GeorgeWhale
A. V. Laider,MaxBeerbohm
Enoch Soames,MaxBeerbohm
James Pethel,MaxBeerbohm
"LandSat Picture of Washington, D.C.",theUnitedStates
50 Bab Ballads,WilliamSGilbert
Arizona Sketches,JosephAMunk
A Lady's Life in the Rocky Mountains,IsabellaLBird
The Story of Mankind,HendrikvanLoon
Arizona Nights,StewartEdwardWhite
A Young Girl's Diary,AnAnonymousYoungGirl
High History of the Holy Graal,Unknown
Barlaam and Ioasaph,StJohnofDamascus
The Brother of Daphne,DornfordYates
Anomalies and Curiosities of Medicine,GeorgeMGould
Burning Daylight,JackLondon
One divided by Pi (to 1 million digits),YasumasaKanada
The Golden Mean,JerryBonnellandRobertNemiroff
"Thoughts on Man, His Nature, etc",WilliamGodwin
Editorials from the Hearst Newspapers,ArthurBrisbane
 Expunging Resolution,ThomasHartBenton
" February 22, 1839",JohnCCalhoun
The Puzzle of Dickens's Last Plot,AndrewLang
The Bobbsey Twins at School,LauraLeeHope
Oliver Twist,CharlesDickens
"Hackers, Heroes of the Computer Revolution",StephenLevyC
Emile Zola,WilliamDeanHowells
The Star-Spangled Banner,JohnACarpenter
Men of Invention and Industry,SamuelSmiles
The Man of Letters as a Man of Business,WilliamDeanHowells
"Henry James, Jr.",WilliamDeanHowells
James Otis The Pre-Revolutionist,JCRidpath
The Birds' Christmas Carol,KateDouglasWiggin
Almayer's Folly,JosephConrad
Tono Bungay,HGWells
Chita: A Memory of Last Island,LafcadioHearn
The Cruise of the Jasper B.,DonMarquis
The Moon Endureth--Tales and Fancies,JohnBuchan
The Bobbsey Twins in the Country,LauraLeeHope
"Memoirs of Extraordinary Popular Delusions, Vol. 2",CharlesMacka
Thomas Jefferson,EdwardSEllis
Allan Quatermain,HRiderHaggard
Love of Life,JackLondon
The Princess and the Curdie,GeorgeMacDonald
